"a mouse and house
met a house and a mouse",
"we find the earth our forebears once called
home in Southeastern Michoacán, edging
the outskirts of la Ciudad de México.
when my brother kicks up crumbling
dirt and stardust shed by our bloodline,
light scatters across the sky and it seems
we’ve scratched a four-hundred-year-old-itch.
 
in the golden age of colonization, Zacatecas
was once one of the most successful mines
in all of the Spanish empire, producing silver
for hungry swine hell bent on bleeding us dry.
my blood bleeds different indigenous inchor
than what is found where my family ranch
is settled. such is the legacy of colonialism,
to be displaced from your homeland again
and again. we visit the Mina del Eden, or as
my ancestors could’ve called it, the mine
of dead marigolds. in México, I am still
mestiza, still mixed. I speak English to my
mother and whisper Spanish prayers at our
village church. I am the product of the empire.
 
in the mine, I stared longingly at slabs of ore,
gold dust, and gemstones gleaming six thousand
colors. what would it be like to touch, taste history
again? in the mine, my brothers ran ahead, still
small and young enough to forget. when I looked
down over the railing into the cavern of rock walls,
I swore I smelt blood. I knew the warm trickle
of iron tang on my tongue long before I knew
what it meant for things in this world to die.",
"the saguaros look like the old gods,
tilted, vibrant, foreboding. grasping
to the sun-streaked sky as if it holds
all of the answers of ancestry. cottontails
scuttle and bounce, hopping over agave,
away from snarling, snorting javelina. gods
still dwell in the etchings of the desert’s
paintbrushes and spiny, sanguine ocotillo.
 
there are gods you’ll see on blazing
summer sundays, when the sun is ripe
and honeyed, and the air smells rich,
like young wine that goes to your head.
there are gods you’ll see when the icy
night has covered the stretched horizon
in a midnight shroud, soft skin of stomach
and a flushed neck sprawl naked against
the judgement of the desert-soaked stars.
 
there are gods you’ll feel when the pain
tears prickly pear bits into your skin.
there are gods you’ll hear rattling like
snakes along sandstone formations,
calling out a warning before danger.
there are gods you’ll see many times
on your path, and there are gods you’ll
see only once, gods you’ll embrace with
open arms and those you’d rather forget.
 
there are gods that’ll slither into dreams,
oleander-laced, gnawing life from your
bones sucking water from your supple skin,
pulling hair from your head. you’ll wake up
gasping, snuffed out by dehydration and cave
fires. these are the gods you’ll taste like ash
under your tongue. these are the gods you’ll
see in the smoke, phantom apparitions. these
are the gods that you can’t escape and can’t
escape you. gods you’ll see in the mirror.
 
don’t look at them too long.",
"retching red spirals
in a honky tonk bar
silk and soot pouring out 
into the porcelain below, Her
emesis coating the hyacinth tumbles
that crown Her countenance 
                   hold my hair back, She asks
so i wrap my fist around Her inflorescence
in awe of the way She spits
                   why did he call? She asks
but i have no answer, distracted 
by the crowd call for the “Tush Push” 
                   until the stench of Her grenadine gag 
                   putrefies the back of my throat
and i am brought back to a woman
crying over man 
i tell Her about how when i was little
i would lie awake, terrified by sounds 
of creaking and cracking 
from stairs and attic beams
so my parents told me, 
a house makes noise as it settles
and maybe that’s why he’s calling 
but She can’t hear me 
over the sound of the crowd
line dancing just outside the door 
                   the god flushes
whispers, thanks
and rejoins the congregation.",
"dryness hangs itself on the aging wood of
dusty ghost town bars. I left you feverish, 
confused and writhing in the dark, 
two rusting nails glistening above the heartless texan bedpost. 

what is it 
if not sex
that brings this arid wasteland fertility?",
"i rolled myself out as if I was a Persian carpet
hoping to be tread on by filthy shoes

i am jealous of the grip you have on Kant
because i know you would never lay a hand on me,
not even if i wanted it; not even if i asked you to. 

if i hung off the edge of a cliff, gauzy and soaked wet with rain
i would ask you to waltz on my knuckles;
i would beg you please, to give me my pain
and make it so that i never recover from 
having seen you in dublin proper, 
your neck craned; a bird between my teeth",
"I know you love the security
of brick walls, but to survive
under siege one has to give up
on the world.

Even if our hearts belong
to one another, there is only
so much that can be whispered
through cracks.

Passions inevitably cool
when tender lips are met
with stone, flesh fortified
by the comfort of control.

You and I cannot
build a life from words.

There has to be more
than nods and glances,
our future fading
with each pressing moment.

Come let me hold you
— once and for all.",
"i said to them, i said
“i am alone. i am all alone”
they listened, and they heard my testimony,
then they sent me on my way with a bouquet of lavender
and a pack of cigarettes. 
i was enraged
colicky
like an infant unfed.
but i was smitten with fury
ardent
decidedly a girl in love with pretense
and fine diction, 
with a penchant for dirty men
and rooms that reek 
of 
stale time
and self-pity.",
"I long to loaf.
No, even less.
I want to do nothing,
Except that isn’t exactly true,
I want to consume 
Hours of media 
Defy the calls for output.

I am all zeit and no geist 
I am a vast image hatched out of spiritus mundi,
A shape with baby bird body and  hapless human head.
Greasy, amniotic, in need of a shit, 
Slouching along the now deep-worn ruts 
From A to B. Toward the next feed.

The pen, I read, is mightier than the sword.
There. I’ve passed on what little I know.
Go and set the world on fire.
I find I have little use for either tool. 
Each is but an egg tooth,
And I care little to meet that part of me which 
Cannot make itself known
Within the confines of my shell.

That head. For all the chemistry transpiring within,
It struggles to understand much about the world without.
Color as a concept, for instance. 
Political particles displaying wavelike qualities.
The reality of walls, the implications for 
The ecosystems they trap, and their 
Holding up the roof
On which I, and a nation 
Of do-nothings have trod since 
Before I can remember. 

A child asked it once, my head, that is,
“What is wind?” and it told the kid that wind -- 
No matter what sound it makes, 
Whether it whips 
Through window drapes, sings 
Through a saxophone, or
Lub-dubs, soft and quick 
From an ultrasound, straight from a tiny heart, 
That wind is but a function of heat. 
That given the common thermal cradle, 
One wind might as well be the next.

The body, and the more 
Bodily bits of the head, 
Long to exercise more fully the right 
Of having no troubles in the least.
To be troubled with no troubles needing troubling over at all.
To bathe in the lethe and lose little of any importance. 
To forget the word,
Bethlehem, and slouch instead from bed, to table, to church, to couch,
To toilet, to bed with little desire to be born.

By now, we realize that we are chaff, though not
In the common sense of the metaphor.
We cling close enough to the fruit 
For which the species was cultivated
to be shorn likewise from the field by
the combine of Providence, 
Whisked away with newfound freedom,
The memory of common soil purged. 
We think little of the stalks and stems,
and feel even less.",
"I did not know 
Where pine nuts
Were grown
Until I read 
That some thirty Afghan pine nut farmers
Were consumed, 
Turned to human ash 
Or fine red mist,
Depending on whether it was 
The fireball 
Or the white-hot shrapnel 
Of the bomb sent
From the drone piloted
By the airman or airwoman
Who was sent to training
To learn to detect 
Potential pine nut farmers,
Discern
The good
Pine nut farmers
From the bad
And direct the drone
Accordingly.

I do not know
If these pine nut farmers
Were good or bad,
But I suspect, 
There will be a new batch soon 
Of hapless pine nut farmers to report on, 
In Syria, Iraq, Palestine,
Or perhaps in Nigeria,
In Yemen, or in Iran, 
In bloodied Crimean snowbanks, 
drowned below decks in the South China Sea.

As it happens, I heard just Monday,
The Turks have received
The Presidential O.K. 
To make pine nut farmers
Out of every Kurd 
Within twenty miles 
Of the border.

I do not know 
If pine nuts grow 
In Kurdistan or those other places.
You’ll know soon enough.",
"In my dreams I can fly 
Around the globe and everyone will say hi

In my dreams there is no pain 
And that poor old man will never miss his train 

In my dreams we all have enough to eat
And all the worlds kids have shoes on their feet 

In my dreams I’m an action star
Riding around in a fancy sports car

In my dreams I’ve found love 
And at my wedding there were 1000 white doves",
"The shell remains,
Though cleaved and crumbled.
It cannot contain

The populace anymore than
The Colosseum,
Whose white walls rot to dirty tan;

The plaque builds
Up on unused bones and yellows marble
Swords and shields.

But this shell still stands as a red husk
Of brittle brick,
The remnants of some gargantuan mollusk.

Empty sockets
Are the arches who saw an empire
That rotted,

And the inside is pitted with cavities
Inverted from
The geometric armor of tortoises. 

Fractured are
The bones exposed to elements and treated
With little care-

Was this shell molted, forgotten by man?
Or was the beast it housed
Killed far away on an eastern plain?

Repurposed for
The monuments of new gods and new kings,
The bones were

Strewn about after the giant’s death;
Now these remnants of
The autochthonous beast return to the earth.",
"i liked that she was so angry. 
i never knew someone so thin could be so angry.
id’ve thought there wasn’t enough space for rage, 
enough space for anything but an aching, swollen brain and cigarette legs.
of course i’d known about what she had done
probably since i started liking poems and feeling stale
but still, i didn’t read the bell jar until i was seventeen
and by then it was too late anyways, i was seventeen years old and 
fifty years too late to a book launch planned at a funeral,
to a story already studied in black and white by millions of me’s,
that sort of “black hair type” that so many grandmothers and headmistresses loathe,
to the story that goes: 

sylvie, i have had to kill you
you died before i had time-

ash, rise, red, hair,
brute, boot, mistress,
december, fire, genius, mad 

i felt she was my patron saint,
a holy mourner lying in wait until i’d come of natural dying age, 
siren call to the northeast where she’d been long before me

and now i have pictures of her on my wall, 
and i listen to her read her poems through headphones, 
and i swear i won’t ever read ted hughes, 
and i think sylvia would be a good name for a daughter, 
but mostly i wonder if she would have hated me, 
or if i would have hated her 
or if we would have been friends.",
"why
as i lie here
do i think 
gay things
like
holding his hand
or
switching sunglasses
in the sun of summer

his glasses never fit right
his hands felt too rigid

i smile when 
cash comes on
sings ring of fire
and i remember 
when i fell in
and the time 
we laid together

i wonder
if well ever speak again
or if 
no one will know
meant
youre a fag
get over it

if being queer
is a small light
in a walkin closet
ive closed the door
and locked it 
from the outside
and put up a chair
under the knob
and i hold a flashlight
hands trembling
in the basement
as i fumble slowly
with the breaker box
wishing i spent more time 
listening to my father
as he told me 
be a man
and now im only 
a shitty electrician
rendering 
a bulb useless",
"there’s a porcelain bulldog 
in the corner of the living room
constantly wagging his tail–
you call him winston

then there’s the churchill biographies
arrayed on the shelves by the stereo–
each volume another testament to 
your interior civic religion

you like to leave the chess set out 
and there’s the king I lost to you –
its cedar crown wedged between 
your mug of ovaltine and 
box of ginger snaps

it’s a cozy winter afternoon so the 
fireplace and tea kettle whistle away
while my grandmother alternates 
between her three puzzles –
the crossword, jigsaw, and
what’s wrong with kids these days

and then there’s you grandfather
with your ascot tie that twirls
like a mobius strip in freefall 
and your laughter that drowns out 
the scott joplin on the stereo

you’re in your armchair
telling me about the 
battle of britain, jane austen 
and your friend who knows seamus heaney 
and your other friend who doesn’t but is still lovely
and, in fact, has just arrived for afternoon tea",
"Has obsidian-black hair 
pressed flush against his 
scalp like oil spilled
on southern shores.
	His Croakie
strap is stained by brine, guano, 
and pomade and tied loosely around 
his bronzed neck.
	He has sunglasses
and tinted lens which mask
his jet black eyes and
bushy eyebrows.
	His voice sounds 
Like a coastguard bullhorn – 
Full of static and cautionary tales.
His chiseled arms 
From chasing mackerel
Are ready to strike from
bow, aft, port, or starboard.
	He has baleen teeth 
that peek beneath his stiff 
upper lip when he cracks 
A gap-toothed smile.
	Most notably, the
Lines of his face trace the 
immigration of his 
Azorean ancestors to
New Bedford – the city 
that lit the world 
until the whaling stopped
and thrust the city into darkness 
like the void that engulfs the 
section 8 housing when the 
grid goes down.",
"As the River Jordan ran red with wine
And the idols and icons turned to salt,
Christ on the cross grew goat horns and a grin
Through which bellowed a dragon’s laugh,
And we Knew then his clear, cruel joke:

The veil had stayed seamed;
The tomb is still shut.
The ministry meant nothing,
For loving seemed but a means to trick death,
While believers were cheated of life beyond time.",
"I don’t want to be a knot that is tied
Or a small child who believes in the majesty of magic
When in reality the man in the top hat cheats—
because the coin is weighted
I don’t want to fall for feelings and call it love
And know, deep down, 
that I am a fool
I don’t want to feed the perfect dream
When I am the product of the nightmare
That once was cherished just as dear
I don’t want to love something and fail it all the same
I don’t want good intentions 
And provision of only scars that cannot heal
Or to carry a sleeping lion in my chest and flaunt a flower
When I know I am not beautiful
I don’t want to be a sequel—they are always somehow worse than the original
Though they set out to be better
I don’t want the burning coals of me
To char and blacken a blank white slate
I want to be spirit and wind
Not confined to
Nor risking
The trappings of commitment which so rarely come to fruition
I don’t want to tie the knot
I want to burn it
And, if nothing else,
To tie a noose and make my own
So that I can know for certain
That I will not become a monster",
"Soar
No, that is not quite right. . .
Ah, there it is!
—Sore

Throat—

No relief
Inflamed like 
Ingestion of margarine
—Or perhaps lard

I desire
Un lozenge 

Where are you
Drug that makes me high

A result 
Of your “honey lemon with echinacea”
I wonder
What happens if I relish you
Without moderation

And dim the theater lights 
Till they go out completely
Ceasing the act
For good

—”eating too many cough drops can have a laxative effect”

Oh my. . .

. . .Nevermind",
"Silence greets me in the white windswept woods.
The city sounds are stifled by the snow.
I tread on rubber soles, attentive to
the brevity of sound this moment holds.
I listen to my breath as I exhale
And watch it fill the divots in the snow.
My heart flutters. Does someone follow me?
I turn around, in part expecting them.
But no. It is my little sparrow perched
Delicately on a branch above.
The little sparrow cocks his head at me
And laughs. His wings stretch and morph grotesquely
Into fingers, forcibly entering
All of my orifices and soft spots.
Brown fingers, gnarled around my neck
Squeeze the air from my lungs, hot sticky sap
Expands, sits heavy in my gut, hardens.
The tree limbs snap. Contort into a cage
Brittle bones, now breaking 
My tears streak red down my porcelain skin.
The sparrows multiply around me
They scream and scream and scream until they stop.
I open my eyes to the empty woods
Displayed on my hospital room tv.",
"My father
cultivates cannabis: the bastardly buds
hoot and holler. Forbidden fruit
cast out of the garden: teeming with life
and lustreful leaves.
Adam himself might cower: made a servant as
serpentine sativa sets roots in
Spanish soil: Monterey: Mountain
King.

	My father
cultivates cannabis. Family fractured
over budding green: money doesn’t grow on trees,
it grows on cannabis flowers. Family fortune
flourishing and mother nature
deflowered. Goodness: that is,
good hard work damned: the no longer taboo 
work of our people: no more 
dirt stained denim,
only dry cleaned 
designer: drugs.

My father 
cultivates cannabis. My mother 
conceals it: we hide in plain sight: our 
hispanic heritage helps: sheltering us from
the reality: that my father is nothing more
than a white skinned: brown skin: immigrant kin:
slave to a crop: that puts food on the table
just like his father: 
his father: 
his father: a brown skinned worker

that came to this country to
set roots: healthy roots are 
milky white: the man
who walks among the weed must be
white: on the outside: white concrete
houses clustered cannabis: budding
beautifully: roots breaking through the white 
concrete houses: itching for the rich brown soil
it came from.",
"Head wrapping around a new decade,
bar mitzvah blanket draping your shoulders.

I clutch the steering wheel,
exposing blue avenues in my forearm. 

Fallen branches pave Sands Point,
destined for a slot in my timeline.

Shuffling through nostalgia, picturing
clearly that Nor'easter in November.

I’m left craving your living room, 
lantern-lit afternoons and nights.

Laughter at Monty Python left
in coffee rings on the kitchen table.

Frasier disc sleeve flattened on the floor,
crumpled leaves under white sneakers.

You never finished that thought
before you got out of the car.

I drive home alone, tug my fleece sleeves,
and can’t get over the comfort of the floor.

I’ll follow you, follow you home.
How long since we last walked home?",
"Meandering along the Blue Ridge
As the incessant whine of locusts 
Echoes through the valley

The baked earth and frigid air
Collide.
I watch the steam rise and 
Latch onto my pant legs,
Soaking into the fabric.

I keep thinking you’re here
With me―
A rustling of fallen leaves
The echo of laughter
Deep within the pines.

I nearly saw you
Climbing further up 
The ridge.
You danced along the cliff’s edge

I followed
Because I didn’t want you
To jump.

After all

There’s no reason 
To repeat
A wanton act.

I can feel God pressing on my shoulders
He has knocked me over
And He lays on my back
Unashamedly.

Maybe I deserve this guilt.

I hear a rib crack
I feel myself groan,
But I do not move.
I wait for the moment of escape

I need it to Rain
To have salvation pouring from
The Heavens.
To watch the spirits
Gasp and
Sizzle away,
To no longer
Be haunted by souls
Long gone.

And maybe then
I’ll sigh 
Close my eyes
And scream.",
"you sit above me, flushed and mild,
rough midwestern thumb 
soft against the fleshy socket of my cheek

i’m on my knees- i’m always on my knees-
and i’m looking up at you 
and i’m saying with my mouth
“i am going to make you love me.”

and i do. i make you love me
for two nights a week
in the sallow dark of autumnal yearnings",
"Suffering is sensational.
The more harrowing the better.
People will read it and
feel as though they understand.

“It’s a fine thing that,
being misunderstood.” 

Joy is so generic.
It’s campy and generic
and cloyingly sweet.
The sun rises and the poet’s pen falls. 

	“He felt joy uniquely, and 
	expressed it just so.”",
"You obsess over the hiss  
of our moka pot, eager 
for a taste of pressurized 
bitterness, flowing naked 
across morning tongue.

Once, on a humid July day, 
you told me about how 
an Italian man insisted 
on making coffee for you;
how he didn’t wear grey 
flannel suits or speak 
hollowed language.

I recall this, poking 
the yolk sprawled before me 
with clinical precision, 
while you skim a drugstore 
copy of Anna Karenina long
forgotten in the credenza. 

Oh to be a scythe swinging 
Russian at harvest — what
sweet misery lies in silence. ",
"While she looks for a corkscrew, 
her bulldog is a pile of waterlogged laundry
on the kitchen floor, a hind leg stretched lazily 
like a lost sock not interested in rushing a reunion. 
His snores, like pennies plunked into a still fountain, plop 
beneath him and ripple through the stone. 

He looks angry from this angle. 

Outside, Bath is the same it’s been since I was born—
stubborn, only a little loud, sweet on the tip of your tongue
before your throat burns sour—
but my best friend’s bulldog is furiously sleeping a foot away,
and meaning plumes into the word hometown, as if I’d inhaled
after a storm, the air sopping and smelling like sorrow. 

A door closes somewhere inside me.
A door closes somewhere behind me, 
the corkscrew prodding dully into her palm.",
"I stick my head into the grass
―Surprise, it’s me again―
Searching for
The golden kernels that fall from the stalk,
Clawing as they
Recede deeper and deeper into the soil.

I look up and bob my head,
Fluttering my wings indignantly,
Suddenly aware of your sickening presence.

You horrifying, treacherous thing,
Flapping your arms around,
Your mangled sleeves thrashing in the wind,
The uneven yellow fangs carelessly stitched into your face.
They are bared at me, 
Urging me to flee, 
And yet no sound comes out.

You never speak or yell or curse 
As you should.
You give me a deformed scowl and 
Let the wind sound your growls.

My beady eyes shift from side to side
And I caw at you:
―Why can’t you scream? Why can’t you shriek into the wind?
If you really hate me, 
Prove it!―

I flap my wing disparagingly at you, 
Slapping the hay shooting out from your sleeves,
A sorry excuse for hands.
I hear the hay rustle angrily.
How dare you crinkle those false limbs at me?

―Your entire existence is a fraud―
I squawk at you.
You have no power 
To protect the vegetation that lies behind you.
You simply spread negative energy,
Stifling the vibe with your face,
Like a decrepit clown. 

I shake my feathery black head.
You are a fool, and I am too,
For I have no reason to be speaking to you.

*

The little droplets of melted snow ooze into your
Wrinkled cloth,
Like hopeless tears
Staining the faces of the unloved.
You have been abandoned in the numbing cold,
Left to shrivel like a corpse.
The frostbite clenches down harder than your uneven fangs.
The wind whooshes louder than your crackling sprawled hay.

I land on your torn straw hat
And extend my scaly leg down,
Clawing and grasping at your felt eyebrows.
I tilt the brows upwards,
Turning your scowl into surprise,
Shock and hurt.

I bounce up and down on your threadbare shoulders,
Shaking off the mounds of chilling snow.
I crawl into the gaping hole in your left side
And settle into the tufts of stuffing.

I let out a rattled sigh. 
I guess I can stay here and keep you company for a bit,
But only a few waking hours, and that’s it!

*

The wind has knocked you down
From your post,
And I find you slipping into the 
Chunky spring mud.

This past year
After an ear-splitting shot 
Resounded through the air,
My partner disappeared 
In a cloud of blood and feathers.
Perhaps yours did too. 

I latch onto your pant leg
And pull and heave and sigh,
Dragging you through the slush,
Lifting you into the heavens
And onto a hole-covered roof.

A soft tutting noise escapes from my beak.
I cannot leave you in the cold as I have before,
Or else I know I’ll never find you once more.

Why wallow outside, 
Letting your insides fill with dread,
When you can stay in the barn
With me instead?",
"Sibilant and relenting,
The wind-wake abates
Around the roadbend,

Its remnants known only
In the shiver of the oak leaves.

A fingerprint of August,
Dusted by the stars,
Lies bare against the evening.

All is exhaled,
And for a moment, is breathless.",
"Dark motel rooms are a little like time machines— 
there’s something about being alone 
in that generic, indistinguishable room 
with sheets that are not quite white anymore
after drawing the blinds against the glaring curtain of the sun
that makes me feel like I might be anywhere,
or anyone for that matter, stripping away the years
like so many layers of dirty clothing until I forget
why I am here. Maybe I’m in another hotel room miles and years away 
listening to how my mother’s breath sounds like the ocean 
as she lies on her back, or the room with the shell box 
grinding out white noise to help me fall asleep, 
or the room laden with ocean-scented candles, 
a chemical replacement for that distinct blend 
of salt, sand, and sunscreen. I hold a shell against my ear 
listening to the waves sigh but I found out long ago it wasn’t real, 
just noise resonating between cold, hollow spirals
smoothed by decades spent tumbling in the surf
and to whoever explained away the mystery—
What do you know compared to the true believers?
Those who still put teeth under their pillows at night, 
who haven’t yet discovered the drawer 
in their mother’s vanity rattling with tiny, rotting teeth
smelling one to check if it’s yours, the acrid decay 
making you turn away, and I wish I could take it back,
the wonder of holding the ocean in my two cupped hands,
when I believed my mother’s breath
would be as constant as the tides.",
"Early evening on Kenwood, 
late honey ink of June 
bleeding into July. A smooth quiet
in the house. Me, at my age, 
stepping out to water. Hostas,
magenta dragon snaps, 
roots stained violet.
He’s waiting for me
under the dining room table.
So young.
My sister gave me 
the pillow, 
over my face while
he rapes me, 
ugly, rotten
lemon, latch hooked seams.
Police take
pictures, take
fingerprints, take
underwear–
no, 
my husbands passed–
take the pillow away in a patrol car.
My daughter-in-law calls them 
some weeks later to
get my sister’s gift back.
Thirty years. 
My granddaughter
still calling, 
trying to get it back.",
"she’s perched herself on the bed
sweatshirt over her dress, drenched from the rain
i barely knew her, i barely know her
she’s reading my palm, she’s half leaning over

her friend lays passed out in her lap
happy birthday, twenty-one
i’m fragile, she says, i’m really fragile
but you guys know i’m whole lot of fun

someone has tied their shoes twice in forty-five minutes
all that time and she couldn’t do it once
she was a figure skater in a past life, can’t forget it
she’s very serious about what’s going on

skating on ripped tights and bummed smokes
typecasting everyone from some childhood show
i’ll give her a light if she’ll tell me the meaning
of who i have been, and what i should know",
"Truthfully, this sadness is not worth much.
A couple nickels, maybe, a quarter on a good day, 
sloshing around the bottom of a receipt-littered handbag. 

I’m sorry, reader— 

no matter how many metaphors I weave this sadness into,
it’s only a few yards of fabric, not enough
to make something of it, but I am still sitting down to sew, 
every time imagining what the pain would feel like
if I pierced a needle through my thumb nail.

I’ve done it again, haven’t I? 

Really, this sadness is not worth much. 
Even if I hold it up to light and ask it
to project something sequined onto the wall, 
it’s just a slab of glass that
I’ve been holding onto for too long, 
generating enough pressure for it to splinter
into my palm, to slice
through my life line, and yet,
I don’t seem to bleed. ",
"Her canines caught
against a strobe light,
their small dimples of bone,
craters on a full moon.
The music so loud in this bar,
you wouldn’t hear 
gunshots over it.  
Bullets bouncing through
chests, jerking 
torsos timed
with the bass, dancing. 
Six, maybe seven, shots
before I’d realize.
Her molars now,
glinting as she tips
her head back, laughing at
something I can’t hear.",
"Walking to my noon lecture,
I was coming up on a ten-ounce coffee cup, 
lidless, unsupervised on a granite ledge. 
There was a bee– no, two– no, three, 
orbiting the rim, taking turns swan diving 
across the cup’s diameter. They must be competing
for sun-warmed globs of honey hung on the inner walls. 
Parallel to their apparatus now, my view angled inward to see 
bees, at least a baker’s dozen,
a handful of winged Cheerios afloat in baby pink sap. 
What tea is that shade of rose? 
I want to send in the dive team,
but it’s two until the tower echoes twelve.
No honey in there, just a cup 
and a mass grave.",
"I hadn’t realized
his eyes did that,
traded red 
oak for olive 
in the sun, until he slid 
into our small talk
without invitation.
Back to brown between blinks. 

Later, we’re laughing 
at an unsteady Kate, skating
across beer-stained carpet. 
Him looking at me, 
eyes all olive. 
I want to skewer them,
a drop or two into 
my martini, 
and slurp.",
"I offer it up,
bloody and vital,
onto your butcher’s block

Cut into it. Tear it apart. 
Maybe in the autopsy
you’ll find something true. 

You can discard it if not.
But if you do,
save a morsel of it. Save two. 

I wish I could offer more:
something beautiful, 
something concrete. 

But all I have is 
a pound of flesh;
A pound of paper.

In red ink,
hesitantly, I write,
“for your consideration”",
"The wire arch is tangled in ivy, overrun
by the years. You wear water plants
on your blouse, vines right off the wallpaper
twisting in the kitchen. I go to fi nd some clippers
to tidy the garden but you wave me to the water.
From the green cushion, always slick with leaves,
we gaze through pond murk down to the tarp.
It is spring but nothing living remains,
the birds have ripped the net and stolen the koi,
not even bodies of carnival fi sh are left to fl ush.
The gargoyles were not enough to ward them off ,
neither was the stone turtle whose neck we painted red,
but learned that watercolors dried dull on onyx.
Your hair is grey and you cough as ever but now
you spit out pollen. The day steams like the greenhouse
where they sold us reeds and lilies for this haven,
they lose their leaves in winter but can endure the elements,
and sure enough they lasted you out. The day I got word,
a moth lost its wings when I cut them off with scissors
and dropped them like white petals onto the surface.
Here you are and I ask if you remember
the koi and their colors, how my favorite was the
one missing part of its fi n. You shake your head
with a sad smile. To remember something
and lose it, to chase it on the pond fl oor.",
"People pass me on the street
and I want to reach out
and strum them, the singular
guitar of the body, the neck
made of string – what sound
would it make? If plucked out –
I remember you told me
that my eyes were grey (not
blue), that I was crazy
as grey, that when I slept
sometimes – and sometimes
I did sleep – I mumbled
grey words to you –
so that when you left,
I wanted to pluck the grey
out of the fog that hung loose
and sharp over the city
like a bookmark and squeeze
it between my thighs and
be grey food for grey birds.
And if I were to kill somebody
on a grey day like this one, I
could say I knew nothing – and
that would be the truth.
I didn’t see it happen.
I pluck a man out of the street
who could be your son –
he has teeth like yellow corn,
sweet to chew. I put him
in my mouth and he dissolves
like a raincloud. I squeeze him
between my thighs and kill.
I know nothing about it.
I didn’t see it happen.",
"Trunks with limbs, heads
with trunks, a new black-
and-white sneaker, hands
decorated with elaborate
Henna tattoos: The fi rst
day of spring already in
a body bag – a pink Hazara
dress yelling for blood,
a boy named Mustafa of
about 12. The Persian calendar,
in her soliloquy, composed
herself and took the phone,
and resumed speaking to her
dead son: “pray for your future,
for a better future, our family,
for Afghanistan.""",
"Camille, the bench
where I sit is cold
and slippery, olive
as spilled Absinthe. I promise
to stop drinking tomorrow
you’ll love me
like you did last spring, we sat
together inhaling the sweet
pepper of geranium red
as your cheeks. Our skin
spotted in light between
leaves. You looked towards
your future and I stared at you.
Like last spring, I’ll remember
my name, when dreams weren’t hazy
purple bruises in memory. Last spring
afternoon light grew golden
on your face, I longed to keep
you close. But I’ve been left
behind my own brush’s
shadow. Shoulders lilt with dreams
of free days planting lilies
in Giverny. We picked
peony, aster, hollyhock,
fl ecked as St. Valentine’s palette. Promised a bouquet
to tuck behind your ear,
tied with the bond of a black bow
the way lovers do. But here I sit
today the fl owers have wilted
in the rain, brushed by time, blurred
by shade, faded while waiting for the sun
light I vowed. Even while soggy
the smell is sweet",
"Split ground
When it rose from concrete
Spits grit when it speaks
I didn't know I'd feel so welcome
By the mind-your-own-shit
And ashen complexions on the bahn,
The easy complexity of leather jackets,
Pink hair, ripped jeans, triple piercings.
Your plastic cards– nothing to ""cash only,""
Reminder that raw is realer.
Drink on the street, on the train, in your face.
On your walls, off the wall, graffi ti prose and
Universal Art.
That's global justice.
Berlin, you
Bruised knuckle wiping blood from a fat lip,
Grinning all the while so we do not forget–
Forgive us if we try–
Who has marched beneath the gate,
Who holds it up now.",
"I took some time today to think of the past,
set notes aside in the purr of a library, static
and surrounded by miles of answers living
in thousands of pages. One day I’ll read them,
I tell myself, one day I’ll retract this mind from
the fantasy I live in, and into the world of
another. The past. Driving down the 8-lane
by Mission Bay, the horns of metal beasts,
wild horses storm smoke through their noses.
Nick looks on passively, gripping the unsure wheel
in the stern countenance of a father dumbfounded
by what a librarian confi ded about his son’s
mischief. The Stones rattle through the scratchy
stereo, and the water breathes a foggy sigh through
rays of spring’s opening eyes. My feet lie on the lip
of the window, beckoning some Tahoe to blow
them clean off . Nick pays no attention—he looks
past the Bay, to the sea. I brand my brain with the
surreal distance of that stare, and the tacit pull
of San Diego. Somewhere in this moment is a
leash for the dancing tumbleweeds of my drive thru
concerns—tucked in a shelf,
dusted off on a tired afternoon.",
"No matter how good the prescription,
At the end of the day I still
Take out my contact lenses
And brace the world of wide shapes
And soft edges
Into which I was born.
My mother says the fi rst time
I opened my eyes,
I looked at my father;
I wonder how much of him
I really saw.
Tonight, after rain, droplets cling
Fast to my window-screen,
Shivering as they size up
The fourteen-fl oor fall.
I look at the car shapes zipping
From lamp to lamp
Like hungry moths.
When I turn my head,
The droplets catch my eye—
Hard to do with eyes
That wouldn’t catch baseballs
Pitched straight towards them—
Absorbing the brackish night
And close-arrayed,
They're birds,
Moving this way and that
As I turn my neck,
Off somewhere melting together.
I sleep and they sit
On the rooftops straining,
Dawn will light their bellies
And when I open my eyes
There will be nothing to see.",
